objectid,filename,title,creator,date,source,identifier,type,format,,
football-1901s,http://archives.nd.edu/Football/Football-1901s.pdf,Notre Dame Scholastic Football Review - 1901,University of Notre Dame Archives,1901,http://archives.nd.edu/Football/Football-1901s.pdf,football-1901s,newspaper,application/pdf,,
football-1902s,http://archives.nd.edu/Football/Football-1902s.pdf,Notre Dame Scholastic Football Review - 1902,University of Notre Dame Archives,1902,http://archives.nd.edu/Football/Football-1902s.pdf,football-1902s,newspaper,application/pdf,,
football-1903s,http://archives.nd.edu/Football/Football-1903s.pdf,Notre Dame Scholastic Football Review - 1903,University of Notre Dame Archives,1903,http://archives.nd.edu/Football/Football-1903s.pdf,football-1903s,newspaper,application/pdf,,
football-1904s,http://archives.nd.edu/Football/Football-1904s.pdf,Notre Dame Scholastic Football Review - 1904,University of Notre Dame Archives,1904,http://archives.nd.edu/Football/Football-1904s.pdf,football-1904s,newspaper,application/pdf,,
football-1905s,http://archives.nd.edu/Football/Football-1905s.pdf,Notre Dame Scholastic Football Review - 1905,University of Notre Dame Archives,1905,http://archives.nd.edu/Football/Football-1905s.pdf,football-1905s,newspaper,application/pdf,,
football-1906s,http://archives.nd.edu/Football/Football-1906s.pdf,Notre Dame Scholastic Football Review - 1906,University of Notre Dame Archives,1906,http://archives.nd.edu/Football/Football-1906s.pdf,football-1906s,newspaper,application/pdf,,
football-1907s,http://archives.nd.edu/Football/Football-1907s.pdf,Notre Dame Scholastic Football Review - 1907,University of Notre Dame Archives,1907,http://archives.nd.edu/Football/Football-1907s.pdf,football-1907s,newspaper,application/pdf,,
football-1908s,http://archives.nd.edu/Football/Football-1908s.pdf,Notre Dame Scholastic Football Review - 1908,University of Notre Dame Archives,1908,http://archives.nd.edu/Football/Football-1908s.pdf,football-1908s,newspaper,application/pdf,,
football-1909s,http://archives.nd.edu/Football/Football-1909s.pdf,Notre Dame Scholastic Football Review - 1909,University of Notre Dame Archives,1909,http://archives.nd.edu/Football/Football-1909s.pdf,football-1909s,newspaper,application/pdf,, 
football-1910,http://archives.nd.edu/Football/Football-1910.pdf,Notre Dame Gridiron Season - 1910,University of Notre Dame Archives,1910,http://archives.nd.edu/Football/Football-1910.pdf,football-1910,newspaper,application/pdf,,
football-1910c,http://archives.nd.edu/Football/Football-1910c.pdf,Notre Dame Gridiron Season (color) - 1910,University of Notre Dame Archives,1910,http://archives.nd.edu/Football/Football-1910c.pdf,football-1910c,newspaper,application/pdf,,
football-1910s,http://archives.nd.edu/Football/Football-1910s.pdf,Notre Dame Scholastic Football Review - 1910,University of Notre Dame Archives,1910,http://archives.nd.edu/Football/Football-1910s.pdf,football-1910s,newspaper,application/pdf,,
